Sequence 0
Time	Observation	Hidden_State
48	2		not_available
49	5		not_available
50	3		not_available
51	4		not_available
52	1		not_available
53	3		not_available
54	1		not_available
55	0		not_available
56	3		not_available
57	5		not_available
58	5		not_available
59	0		not_available
60	5		not_available
61	4		not_available
62	3		not_available
63	0		not_available
64	1		not_available
65	3		not_available
66	4		not_available
67	3		not_available
68	0		not_available
69	1		not_available
70	0		not_available
71	1		not_available
72	4		not_available
73	0		not_available
74	2		not_available
75	5		not_available
76	1		not_available
77	3		not_available
78	2		not_available
79	3		not_available
80	5		not_available
81	5		not_available
82	2		not_available
83	4		not_available
84	3		not_available
85	2		not_available
86	1		not_available
87	5		not_available
88	4		not_available
89	3		not_available
90	5		not_available
91	0		not_available
92	0		not_available
93	4		not_available
94	5		not_available
95	5		not_available
96	1		not_available
97	4		not_available
98	1		not_available
99	4		not_available

----------------------------------------

Sequence 212
Time	Observation	Hidden_State
0	2		very_sad
1	0		not_available
2	4		not_available
3	1		not_available
4	5		not_available
5	0		not_available
6	1		not_available
7	5		not_available
8	1		not_available
9	4		not_available
10	5		not_available
11	0		not_available
12	4		not_available
13	2		not_available
14	3		not_available
15	5		not_available
16	4		not_available
17	0		not_available
18	2		not_available
19	5		not_available
20	5		not_available
21	3		not_available
22	5		not_available
23	1		not_available
24	1		not_available
25	0		not_available
26	0		not_available
27	2		not_available
28	3		not_available
29	0		not_available
30	2		not_available
31	4		not_available
32	5		not_available
33	0		not_available
34	1		not_available
35	5		not_available
36	0		not_available
37	1		not_available
38	2		not_available
39	3		not_available
40	1		not_available
41	2		not_available
42	2		not_available
43	2		not_available
44	3		not_available
45	4		not_available
46	2		not_available
47	1		not_available
48	2		not_available
49	0		not_available
50	1		not_available
51	3		not_available
52	5		not_available
53	4		not_available
54	5		not_available
55	0		not_available
56	5		not_available
57	3		not_available
58	1		not_available
59	3		not_available
60	3		not_available
61	1		not_available
62	5		not_available
63	0		not_available
64	1		not_available
65	2		not_available
66	4		not_available
67	4		not_available
68	5		not_available
69	1		not_available
70	5		not_available
71	2		not_available
72	0		not_available
73	0		not_available
74	1		not_available
75	1		not_available
76	2		not_available
77	5		not_available
78	5		not_available
79	5		not_available
80	5		not_available
81	4		not_available
82	0		not_available
83	0		not_available
84	2		not_available
85	1		not_available
86	0		not_available
87	1		not_available
88	0		not_available
89	4		not_available
90	1		not_available
91	2		not_available
92	5		not_available
93	4		not_available
94	3		not_available
95	0		not_available
96	1		not_available
97	2		not_available
98	3		not_available
99	3		not_available

----------------------------------------

Sequence 213
Time	Observation	Hidden_State
0	1		very_sad
1	2		not_available
2	3		not_available
3	3		not_available
4	1		not_available
5	4		not_available
6	5		not_available
7	5		not_available
8	3		not_available
9	2		not_available
10	4		not_available
11	0		not_available
12	3		not_available
13	2		not_available
14	0		not_available
15	0		not_available
16	1		not_available
17	1		not_available
18	1		not_available
19	1		not_available
20	3		not_available
21	0		not_available
22	4		not_available
23	1		not_available
24	5		not_available
25	4		not_available
26	2		not_available
27	4		not_available
28	3		not_available
29	3		not_available
30	1		not_available
31	5		not_available
32	2		not_available
33	2		not_available
34	3		not_available
35	4		not_available
36	1		not_available
37	3		not_available
38	1		not_available
39	4		not_available
40	0		not_available
41	0		not_available
42	3		not_available
43	4		not_available
44	3		not_available
45	1		not_available
46	0		not_available
47	1		not_available
48	3		not_available
49	0		not_available
50	2		not_available
51	3		not_available
52	2		not_available
53	5		not_available
54	1		not_available
55	2		not_available
56	5		not_available
57	2		not_available
58	5		not_available
59	3		not_available
60	5		not_available
61	5		not_available
62	4		not_available
63	1		not_available
64	4		not_available
65	5		not_available
66	1		not_available
67	1		not_available
68	1		not_available
69	3		not_available
70	5		not_available
71	1		not_available
72	5		not_available
73	3		not_available
74	5		not_available
75	3		not_available
76	2		not_available
77	1		not_available
78	2		not_available
79	3		not_available
80	2		not_available
81	0		not_available
82	5		not_available
83	3		not_available
84	2		not_available
85	3		not_available
86	3		not_available
87	1		not_available
88	2		not_available
89	2		not_available
90	4		not_available
91	2		not_available
92	4		not_available
93	1		not_available
94	0		not_available
95	0		not_available
96	5		not_available
97	5		not_available
98	5		not_available
99	3		not_available

----------------------------------------

Sequence 214
Time	Observation	Hidden_State
0	2		very_sad
1	3		not_available
2	2		not_available
3	1		not_available
4	0		not_available
5	3		not_available
6	5		not_available
7	3		not_available
8	2		not_available
9	1		not_available
10	5		not_available
11	3		not_available
12	5		not_available
13	0		not_available
14	0		not_available
15	0		not_available
16	5		not_available
17	5		not_available
18	0		not_available
19	3		not_available
20	5		not_available
21	0		not_available
22	3		not_available
23	5		not_available
24	3		not_available
25	4		not_available
26	2		not_available
27	2		not_available
28	1		not_available
29	3		not_available
30	4		not_available
31	0		not_available
32	2		not_available
33	5		not_available
34	3		not_available
35	0		not_available
36	4		not_available
37	1		not_available
38	3		not_available
39	1		not_available
40	4		not_available
41	4		not_available
42	2		not_available
43	1		not_available
44	1		not_available
45	1		not_available
46	1		not_available
47	5		not_available
48	3		not_available
49	4		not_available
50	1		not_available
51	5		not_available
52	0		not_available
53	0		not_available
54	1		not_available
55	2		not_available
56	3		not_available
57	4		not_available
58	3		not_available
59	5		not_available
60	2		not_available
61	3		not_available
62	5		not_available
63	2		not_available
64	1		not_available
65	1		not_available
66	3		not_available
67	3		not_available
68	0		not_available
69	0		not_available
70	5		not_available
71	2		not_available
72	2		not_available
73	3		not_available
74	0		not_available
75	3		not_available
76	1		not_available
77	5		not_available
78	5		not_available
79	0		not_available
80	0		not_available
81	1		not_available
82	2		not_available
83	1		not_available
84	3		not_available
85	3		not_available
86	4		not_available
87	0		not_available
88	4		not_available
89	2		not_available
90	4		not_available
91	3		not_available
92	3		not_available
93	0		not_available
94	0		not_available
95	3		not_available
96	5		not_available
97	5		not_available
98	3		not_available
99	2		not_available

----------------------------------------

Sequence 215
Time	Observation	Hidden_State
0	5		very_sad
1	4		not_available
2	0		not_available
3	4		not_available
4	3		not_available
5	0		not_available
6	4		not_available
7	2		not_available
8	3		not_available
9	0		not_available
10	3		not_available
11	3		not_available
12	1		not_available
13	2		not_available
14	5		not_available
15	4		not_available
16	5		not_available
17	4		not_available
18	0		not_available
19	2		not_available
20	5		not_available
21	0		not_available
22	5		not_available
23	5		not_available
24	0		not_available
25	3		not_available
26	5		not_available
27	2		not_available
28	4		not_available
29	5		not_available
30	4		not_available
31	4		not_available
32	4		not_available
33	4		not_available
34	0		not_available
35	2		not_available
36	5		not_available
37	4		not_available
38	5		not_available
39	4		not_available
40	0		not_available
41	1		not_available
42	5		not_available
43	4		not_available
44	3		not_available
45	5		not_available
46	1		not_available
47	1		not_available
48	4		not_available
49	4		not_available
50	5		not_available
51	0		not_available
52	0		not_available
53	1		not_available
54	5		not_available
55	2		not_available
56	1		not_available
57	2		not_available
58	1		not_available
59	0		not_available
60	5		not_available
61	1		not_available
62	1		not_available
63	5		not_available
64	3		not_available
65	5		not_available
66	1		not_available
67	5		not_available
68	2		not_available
69	2		not_available
70	4		not_available
71	5		not_available
72	1		not_available
73	2		not_available
74	5		not_available
75	4		not_available
76	2		not_available
77	0		not_available
78	3		not_available
79	2		not_available
80	2		not_available
81	3		not_available
82	2		not_available
83	2		not_available
84	5		not_available
85	5		not_available
86	5		not_available
87	5		not_available
88	5		not_available
89	4		not_available
90	5		not_available
91	0		not_available
92	5		not_available
93	3		not_available
94	3		not_available
95	3		not_available
96	0		not_available
97	3		not_available
98	4		not_available
99	4		not_available

----------------------------------------

Sequence 216
Time	Observation	Hidden_State
0	3		very_sad
1	0		not_available
2	2		not_available
3	3		not_available
4	4		not_available
5	2		not_available
6	5		not_available
7	5		not_available
8	5		not_available
9	3		not_available
10	3		not_available
11	2		not_available
12	0		not_available
13	0		not_available
14	2		not_available
15	1		not_available
16	1		not_available
17	0		not_available
18	2		not_available
19	3		not_available
20	3		not_available
21	4		not_available
22	1		not_available
23	4		not_available
24	2		not_available
25	3		not_available
26	5		not_available
27	2		not_available
28	2		not_available
29	0		not_available
30	5		not_available
31	4		not_available
32	4		not_available
33	5		not_available
34	2		not_available
35	4		not_available
36	1		not_available
37	1		not_available
38	4		not_available
39	1		not_available
40	5		not_available
41	1		not_available
42	5		not_available
43	3		not_available
44	3		not_available
45	2		not_available
46	4		not_available
47	2		not_available
48	2		not_available
49	2		not_available
50	0		not_available
51	0		not_available
52	5		not_available
53	2		not_available
54	3		not_available
55	1		not_available
56	3		not_available
57	4		not_available
58	2		not_available
59	2		not_available
60	3		not_available
61	1		not_available
62	3		not_available
63	4		not_available
64	5		not_available
65	3		not_available
66	4		not_available
67	0		not_available
68	5		not_available
69	2		not_available
70	1		not_available
71	4		not_available
72	1		not_available
73	5		not_available
74	5		not_available
75	5		not_available
76	0		not_available
77	2		not_available
78	4		not_available
79	1		not_available
80	3		not_available
81	2		not_available
82	4		not_available
83	5		not_available
84	2		not_available
85	5		not_available
86	1		not_available
87	4		not_available
88	0		not_available
89	2		not_available
90	5		not_available
91	4		not_available
92	5		not_available
93	5		not_available
94	3		not_available
95	0		not_available
96	1		not_available
97	3		not_available
98	2		not_available
99	1		not_available

----------------------------------------

Sequence 217
Time	Observation	Hidden_State
0	1		very_sad
1	3		not_available
2	2		not_available
3	5		not_available
4	1		not_available
5	2		not_available
6	2		not_available
7	3		not_available
8	3		not_available
9	4		not_available
10	3		not_available
11	3		not_available
12	5		not_available
13	1		not_available
14	5		not_available
15	3		not_available
16	0		not_available
17	4		not_available
18	0		not_available
19	4		not_available
20	3		not_available
21	0		not_available
22	3		not_available
23	5		not_available
24	4		not_available
25	2		not_available
26	3		not_available
27	4		not_available
28	0		not_available
29	3		not_available
30	2		not_available
31	2		not_available
32	2		not_available
33	4		not_available
34	2		not_available
35	1		not_available
36	2		not_available
37	3		not_available
38	3		not_available
39	5		not_available
40	4		not_available
41	0		not_available
42	3		not_available
43	0		not_available
44	1		not_available
45	1		not_available
46	3		not_available
47	5		not_available
48	5		not_available
49	3		not_available
50	1		not_available
51	4		not_available
52	5		not_available
53	1		not_available
54	1		not_available
55	5		not_available
56	0		not_available
57	2		not_available
58	3		not_available
59	3		not_available
60	3		not_available
61	0		not_available
62	3		not_available
63	2		not_available
64	2		not_available
65	5		not_available
66	2		not_available
67	3		not_available
68	4		not_available
69	1		not_available
70	5		not_available
71	5		not_available
72	2		not_available
73	1		not_available
74	0		not_available
75	0		not_available
76	5		not_available
77	2		not_available
78	2		not_available
79	1		not_available
80	2		not_available
81	1		not_available
82	5		not_available
83	0		not_available
84	4		not_available
85	1		not_available
86	5		not_available
87	3		not_available
88	0		not_available
89	1		not_available
90	3		not_available
91	5		not_available
92	5		not_available
93	0		not_available
94	0		not_available
95	1		not_available
96	3		not_available
97	0		not_available
98	4		not_available
99	1		not_available

----------------------------------------

Sequence 218
Time	Observation	Hidden_State
0	4		very_sad
1	4		not_available
2	0		not_available
3	2		not_available
4	4		not_available
5	5		not_available
6	0		not_available
7	4		not_available
8	5		not_available
9	3		not_available
10	4		not_available
11	5		not_available
12	4		not_available
13	0		not_available
14	4		not_available
15	4		not_available
16	1		not_available
17	1		not_available
18	3		not_available
19	3		not_available
20	5		not_available
21	4		not_available
22	1		not_available
23	2		not_available
24	3		not_available
25	2		not_available
26	0		not_available
27	1		not_available
28	5		not_available
29	1		not_available
30	2		not_available
31	3		not_available
32	5		not_available
33	2		not_available
34	1		not_available
35	5		not_available
36	1		not_available
37	3		not_available
38	4		not_available
39	2		not_available
40	2		not_available
41	0		not_available
42	2		not_available
43	2		not_available
44	4		not_available
45	3		not_available
46	1		not_available
47	1		not_available
48	4		not_available
49	4		not_available
50	1		not_available
51	2		not_available
52	0		not_available
53	3		not_available
54	3		not_available
55	1		not_available
56	4		not_available
57	3		not_available
58	2		not_available
59	1		not_available
60	2		not_available
61	5		not_available
62	0		not_available
63	2		not_available
64	1		not_available
65	1		not_available
66	3		not_available
67	3		not_available
68	1		not_available
69	0		not_available
70	5		not_available
71	3		not_available
72	1		not_available
73	4		not_available
74	2		not_available
75	4		not_available
76	0		not_available
77	2		not_available
78	3		not_available
79	1		not_available
80	3		not_available
81	5		not_available
82	0		not_available
83	1		not_available
84	2		not_available
85	3		not_available
86	2		not_available
87	1		not_available
88	0		not_available
89	4		not_available
90	2		not_available
91	2		not_available
92	0		not_available
93	0		not_available
94	3		not_available
95	4		not_available
96	3		not_available
97	5		not_available
98	4		not_available
99	1		not_available

----------------------------------------

Sequence 219
Time	Observation	Hidden_State
0	1		very_sad
1	4		not_available
2	2		not_available
3	4		not_available
4	5		not_available
5	0		not_available
6	4		not_available
7	1		not_available
8	5		not_available
9	4		not_available
10	5		not_available
11	5		not_available
12	3		not_available
13	1		not_available
14	0		not_available
15	3		not_available
16	1		not_available
17	2		not_available
18	4		not_available
19	5		not_available
20	3		not_available
21	0		not_available
22	3		not_available
23	3		not_available
24	0		not_available
25	3		not_available
26	2		not_available
27	5		not_available
28	3		not_available
29	1		not_available
30	4		not_available
31	2		not_available
32	1		not_available
33	3		not_available
34	1		not_available
35	2		not_available
36	0		not_available
37	2		not_available
38	2		not_available
39	3		not_available
40	3		not_available
41	5		not_available
42	5		not_available
43	2		not_available
44	3		not_available
45	3		not_available
46	1		not_available
47	5		not_available
48	5		not_available
49	5		not_available
50	0		not_available
51	2		not_available
52	3		not_available
53	5		not_available
54	4		not_available
55	4		not_available
56	1		not_available
57	1		not_available
58	3		not_available
59	5		not_available
60	1		not_available
61	3		not_available
62	0		not_available
63	2		not_available
64	2		not_available
65	2		not_available
66	3		not_available
67	4		not_available
68	0		not_available
69	4		not_available
70	3		not_available
71	4		not_available
72	4		not_available
73	5		not_available
74	2		not_available
75	5		not_available
76	3		not_available
77	4		not_available
78	4		not_available
79	0		not_available
80	3		not_available
81	2		not_available
82	0		not_available
83	0		not_available
84	1		not_available
85	5		not_available
86	4		not_available
87	4		not_available
88	1		not_available
89	2		not_available
90	4		not_available
91	5		not_available
92	5		not_available
93	1		not_available
94	4		not_available
95	1		not_available
96	4		not_available
97	4		not_available
98	2		not_available
99	5		not_available

----------------------------------------

Sequence 220
Time	Observation	Hidden_State
0	5		very_sad
1	5		not_available
2	0		not_available
3	5		not_available
4	4		not_available
5	1		not_available
6	2		not_available
7	2		not_available
8	5		not_available
9	1		not_available
10	2		not_available
11	3		not_available
12	2		not_available
13	3		not_available
14	1		not_available
15	3		not_available
16	5		not_available
17	1		not_available
18	5		not_available
19	0		not_available
20	0		not_available
21	1		not_available
22	1		not_available
23	3		not_available
24	4		not_available
25	5		not_available
26	0		not_available
27	0		not_available
28	4		not_available
29	1		not_available
30	2		not_available
31	4		not_available
32	4		not_available
33	3		not_available
34	5		not_available
35	4		not_available
36	0		not_available
37	0		not_available
38	2		not_available
39	2		not_available
40	2		not_available
41	4		not_available
42	0		not_available
43	5		not_available
44	4		not_available
45	2		not_available
46	1		not_available
47	4		not_available
48	4		not_available
49	0		not_available
50	5		not_available
51	3		not_available
52	2		not_available
53	1		not_available
54	4		not_available
55	0		not_available
56	2		not_available
57	4		not_available
58	4		not_available
59	5		not_available
60	2		not_available
61	0		not_available
62	0		not_available
63	4		not_available
64	4		not_available
65	0		not_available
66	3		not_available
67	1		not_available
68	5		not_available
69	3		not_available
70	3		not_available
71	5		not_available
72	0		not_available
73	5		not_available
74	0		not_available
75	0		not_available
76	2		not_available
77	2		not_available
78	4		not_available
79	3		not_available
80	2		not_available
81	2		not_available
82	5		not_available
83	1		not_available
84	3		not_available
85	2		not_available
86	4		not_available
87	5		not_available
88	5		not_available
89	5		not_available
90	0		not_available
91	4		not_available
92	3		not_available
93	1		not_available
94	2		not_available
95	5		not_available
96	2		not_available
97	3		not_available
98	2		not_available
99	1		not_available

----------------------------------------

Sequence 221
Time	Observation	Hidden_State
0	5		very_sad
1	5		not_available
2	2		not_available
3	3		not_available
4	1		not_available
5	3		not_available
6	1		not_available
7	5		not_available
8	2		not_available
9	3		not_available
10	3		not_available
11	3		not_available
12	2		not_available
13	0		not_available
14	3		not_available
15	2		not_available
16	0		not_available
17	5		not_available
18	3		not_available
19	4		not_available
20	1		not_available
21	1		not_available
22	3		not_available
23	5		not_available
24	1		not_available
25	3		not_available
26	3		not_available
27	3		not_available
28	2		not_available
29	0		not_available
30	0		not_available
31	0		not_available
32	5		not_available
33	4		not_available
34	2		not_available
35	1		not_available
36	3		not_available
37	4		not_available
38	1		not_available
39	1		not_available
40	3		not_available
41	2		not_available
42	5		not_available
43	0		not_available
44	0		not_available
45	0		not_available
46	4		not_available
47	2		not_available
48	3		not_available
49	5		not_available
50	2		not_available
51	3		not_available
52	4		not_available
53	2		not_available
54	0		not_available
55	5		not_available
56	4		not_available
57	0		not_available
58	4		not_available
59	1		not_available
60	5		not_available
61	5		not_available
62	2		not_available
63	5		not_available
64	5		not_available
65	5		not_available
66	4		not_available
67	0		not_available
68	3		not_available
69	3		not_available
70	2		not_available
71	4		not_available
72	0		not_available
73	1		not_available
74	4		not_available
75	0		not_available
76	1		not_available
77	5		not_available
78	3		not_available
79	4		not_available
80	1		not_available
81	5		not_available
82	5		not_available
83	1		not_available
84	5		not_available
85	5		not_available
86	0		not_available
87	3		not_available
88	4		not_available
89	4		not_available
90	5		not_available
91	1		not_available
92	3		not_available
93	2		not_available
94	0		not_available
95	3		not_available
96	5		not_available
97	2		not_available
98	5		not_available
99	1		not_available

----------------------------------------

Sequence 222
Time	Observation	Hidden_State
0	4		very_sad
1	1		not_available
2	5		not_available
3	0		not_available
4	5		not_available
5	3		not_available
6	4		not_available
7	1		not_available
8	3		not_available
9	5		not_available
10	0		not_available
11	4		not_available
12	5		not_available
13	2		not_available
14	4		not_available
15	2		not_available
16	3		not_available
17	5		not_available
18	4		not_available
19	0		not_available
20	3		not_available
21	3		not_available
22	2		not_available
23	3		not_available
24	0		not_available
25	3		not_available
26	5		not_available
27	5		not_available
28	2		not_available
29	1		not_available
30	5		not_available
31	4		not_available
32	3		not_available
33	0		not_available
34	5		not_available
35	1		not_available
36	2		not_available
37	1		not_available
38	3		not_available
39	4		not_available
40	3		not_available
41	0		not_available
42	2		not_available
43	4		not_available
44	1		not_available
45	5		not_available
46	1		not_available
47	3		not_available
48	1		not_available
49	1		not_available
50	2		not_available
51	3		not_available
52	4		not_available
53	5		not_available
54	0		not_available
55	2		not_available
56	2		not_available
57	4		not_available
58	1		not_available
59	4		not_available
60	4		not_available
61	1		not_available
62	3		not_available
63	3		not_available
64	5		not_available
65	5		not_available
66	2		not_available
67	3		not_available
68	0		not_available
69	5		not_available
70	3		not_available
71	1		not_available
72	2		not_available
73	0		not_available
74	4		not_available
75	5		not_available
76	5		not_available
77	2		not_available
78	5		not_available
79	5		not_available
80	1		not_available
81	1		not_available
82	0		not_available
83	1		not_available
84	1		not_available
85	1		not_available
86	0		not_available
87	2		not_available
88	5		not_available
89	3		not_available
90	2		not_available
91	3		not_available
92	5		not_available
93	4		not_available
94	5		not_available
95	5		not_available
96	0		not_available
97	5		not_available
98	5		not_available
99	2		not_available

----------------------------------------

Sequence 223
Time	Observation	Hidden_State
0	4		very_sad
1	4		not_available
2	5		not_available
3	1		not_available
4	3		not_available
5	5		not_available
6	2		not_available
7	2		not_available
8	0		not_available
9	0		not_available
10	2		not_available
11	1		not_available
12	3		not_available
13	5		not_available
14	3		not_available
15	4		not_available
16	3		not_available
17	4		not_available
18	2		not_available
19	0		not_available
20	1		not_available
21	1		not_available
22	2		not_available
23	3		not_available
24	3		not_available
25	4		not_available
26	0		not_available
27	2		not_available
28	4		not_available
29	2		not_available
30	2		not_available
31	1		not_available
32	4		not_available
33	3		not_available
34	2		not_available
35	4		not_available
36	5		not_available
37	1		not_available
38	5		not_available
39	3		not_available
40	5		not_available
41	4		not_available
42	5		not_available
43	4		not_available
44	3		not_available
45	4		not_available
46	5		not_available
47	2		not_available
48	2		not_available
49	0		not_available
50	4		not_available
51	3		not_available
52	3		not_available
53	2		not_available
54	1		not_available
55	3		not_available
56	3		not_available
57	0		not_available
58	2		not_available
59	5		not_available
60	5		not_available
61	2		not_available
62	3		not_available
63	5		not_available
64	5		not_available
65	5		not_available
66	1		not_available
67	2		not_available
68	2		not_available
69	4		not_available
70	5		not_available
71	3		not_available
72	1		not_available
73	4		not_available
74	2		not_available
75	4		not_available
76	2		not_available
77	4		not_available
78	2		not_available
79	4		not_available
80	5		not_available
81	3		not_available
82	2		not_available
83	2		not_available
84	4		not_available
85	1		not_available
86	3		not_available
87	0		not_available
88	4		not_available
89	1		not_available
90	2		not_available
91	0		not_available
92	4		not_available
93	5		not_available
94	4		not_available
95	5		not_available
96	4		not_available
97	0		not_available
98	0		not_available
99	5		not_available

----------------------------------------

Sequence 224
Time	Observation	Hidden_State
0	5		very_sad
1	0		not_available
2	5		not_available
3	5		not_available
4	4		not_available
5	3		not_available
6	2		not_available
7	2		not_available
8	4		not_available
9	1		not_available
10	4		not_available
11	1		not_available
12	3		not_available
13	1		not_available
14	5		not_available
15	3		not_available
16	3		not_available
17	4		not_available
18	3		not_available
19	1		not_available
20	0		not_available
21	3		not_available
22	4		not_available
23	0		not_available
24	0		not_available
25	1		not_available
26	1		not_available
27	1		not_available
28	2		not_available
29	2		not_available
30	3		not_available
31	0		not_available
32	0		not_available
33	3		not_available
34	5		not_available
35	2		not_available
36	2		not_available
37	3		not_available
38	2		not_available
39	2		not_available
40	0		not_available
41	2		not_available
42	1		not_available
43	1		not_available
44	0		not_available
45	0		not_available
46	2		not_available
47	5		not_available
48	2		not_available
49	5		not_available
50	4		not_available
51	0		not_available
52	1		not_available
53	2		not_available
54	2		not_available
55	1		not_available
56	4		not_available
57	3		not_available
58	2		not_available
59	2		not_available
60	3		not_available
61	1		not_available
62	1		not_available
63	2		not_available
64	1		not_available
65	4		not_available
66	2		not_available
67	1		not_available
68	0		not_available
69	4		not_available
70	1		not_available
71	5		not_available
72	1		not_available
73	3		not_available
74	2		not_available
75	1		not_available
76	3		not_available
77	5		not_available
78	1		not_available
79	1		not_available
80	2		not_available
81	5		not_available
82	5		not_available
83	2		not_available
84	5		not_available
85	0		not_available
86	1		not_available
87	3		not_available
88	1		not_available
89	1		not_available
90	0		not_available
91	3		not_available
92	4		not_available
93	1		not_available
94	0		not_available
95	1		not_available
96	4		not_available
97	2		not_available
98	1		not_available
99	0		not_available

----------------------------------------

Sequence 225
Time	Observation	Hidden_State
0	1		very_sad
1	5		not_available
2	0		not_available
3	4		not_available
4	1		not_available
5	0		not_available
6	5		not_available
7	1		not_available
8	2		not_available
9	2		not_available
10	5		not_available
11	3		not_available
12	5		not_available
13	0		not_available
14	2		not_available
15	1		not_available
16	4		not_available
17	0		not_available
18	5		not_available
19	5		not_available
20	5		not_available
21	0		not_available
22	0		not_available
23	1		not_available
24	2		not_available
25	1		not_available
26	0		not_available
27	1		not_available
28	5		not_available
29	3		not_available
30	1		not_available
31	2		not_available
32	2		not_available
33	2		not_available
34	4		not_available
35	2		not_available
36	3		not_available
37	2		not_available
38	4		not_available
39	0		not_available
40	3		not_available
41	3		not_available
42	1		not_available
43	2		not_available
44	3		not_available
45	2		not_available
46	5		not_available
47	2		not_available
48	5		not_available
49	5		not_available
50	0		not_available
51	0		not_available
52	2		not_available
53	4		not_available
54	3		not_available
55	2		not_available
56	3		not_available
57	1		not_available
58	5		not_available
59	3		not_available
60	3		not_available
61	2		not_available
62	2		not_available
63	2		not_available
64	4		not_available
65	4		not_available
66	0		not_available
67	2		not_available
68	3		not_available
69	5		not_available
70	4		not_available
71	5		not_available
72	3		not_available
73	1		not_available
74	0		not_available
75	0		not_available
76	0		not_available
77	3		not_available
78	4		not_available
79	1		not_available
80	3		not_available
81	0		not_available
82	4		not_available
83	4		not_available
84	2		not_available
85	5		not_available
86	2		not_available
87	1		not_available
88	5		not_available
89	0		not_available
90	3		not_available
91	2		not_available
92	0		not_available
93	0		not_available
94	5		not_available
95	2		not_available
96	5		not_available
97	5		not_available
98	5		not_available
99	0		not_available

----------------------------------------

Sequence 226
Time	Observation	Hidden_State
0	5		very_sad
1	3		not_available
2	4		not_available
3	4		not_available
4	3		not_available
5	1		not_available
6	1		not_available
7	2		not_available
8	1		not_available
9	0		not_available
10	2		not_available
11	2		not_available
12	1		not_available
13	0		not_available
14	3		not_available
15	4		not_available
16	2		not_available
17	2		not_available
18	2		not_available
19	5		not_available
20	4		not_available
21	4		not_available
22	3		not_available
23	4		not_available
24	1		not_available
25	1		not_available
26	3		not_available
27	4		not_available
28	5		not_available
29	3		not_available
30	4		not_available
31	0		not_available
32	3		not_available
33	3		not_available
34	4		not_available
35	3		not_available
36	4		not_available
37	4		not_available
38	2		not_available
39	3		not_available
40	2		not_available
41	1		not_available
42	3		not_available
43	5		not_available
44	4		not_available
45	4		not_available
46	1		not_available
47	2		not_available
48	3		not_available
49	1		not_available
50	3		not_available
51	5		not_available
52	5		not_available
53	3		not_available
54	0		not_available
55	2		not_available
56	0		not_available
57	2		not_available
58	3		not_available
59	4		not_available
60	2		not_available
61	4		not_available
62	2		not_available
63	1		not_available
64	5		not_available
65	0		not_available
66	1		not_available
67	2		not_available
68	5		not_available
69	3		not_available
70	0		not_available
71	4		not_available
72	2		not_available
73	3		not_available
74	3		not_available
75	5		not_available
76	0		not_available
77	3		not_available
78	4		not_available
79	2		not_available
80	3		not_available
81	3		not_available
82	5		not_available
83	0		not_available
84	1		not_available
85	4		not_available
86	1		not_available
87	1		not_available
88	3		not_available
89	0		not_available
90	3		not_available
91	3		not_available
92	2		not_available
93	1		not_available
94	5		not_available
95	4		not_available
96	5		not_available
97	3		not_available
98	4		not_available
99	4		not_available

----------------------------------------

Sequence 227
Time	Observation	Hidden_State
0	1		very_sad
1	1		not_available
2	2		not_available
3	4		not_available
4	1		not_available
5	2		not_available
6	5		not_available
7	2		not_available
8	5		not_available
9	4		not_available
10	2		not_available
11	2		not_available
12	2		not_available
13	4		not_available
14	4		not_available
15	1		not_available
16	4		not_available
17	5		not_available
18	2		not_available
19	0		not_available
20	0		not_available
21	2		not_available
22	4		not_available
23	0		not_available
24	0		not_available
25	5		not_available
26	1		not_available
27	1		not_available
28	2		not_available
29	2		not_available
30	0		not_available
31	5		not_available
32	2		not_available
33	5		not_available
34	5		not_available
35	5		not_available
36	0		not_available
37	5		not_available
38	2		not_available
39	3		not_available
40	3		not_available
41	2		not_available
42	0		not_available
43	5		not_available
44	2		not_available
45	4		not_available
46	0		not_available
47	1		not_available
48	1		not_available
49	4		not_available
50	4		not_available
51	1		not_available
52	5		not_available
53	4		not_available
54	0		not_available
55	4		not_available
56	2		not_available
57	1		not_available
58	0		not_available
59	0		not_available
60	5		not_available
61	3		not_available
62	2		not_available
63	2		not_available
64	0		not_available
65	5		not_available
66	4		not_available
67	1		not_available
68	1		not_available
69	4		not_available
70	0		not_available
71	3		not_available
72	1		not_available
73	4		not_available
74	3		not_available
75	3		not_available
76	4		not_available
77	5		not_available
78	4		not_available
79	3		not_available
80	0		not_available
81	4		not_available
82	4		not_available
83	2		not_available
84	1		not_available
85	3		not_available
86	0		not_available
87	3		not_available
88	1		not_available
89	1		not_available
90	5		not_available
91	4		not_available
92	1		not_available
93	0		not_available
94	5		not_available
95	2		not_available
96	1		not_available
97	4		not_available
98	0		not_available
99	5		not_available

----------------------------------------

Sequence 228
Time	Observation	Hidden_State
0	3		very_sad
1	5		not_available
2	5		not_available
3	0		not_available
4	0		not_available
5	1		not_available
6	3		not_available
7	3		not_available
8	1		not_available
9	2		not_available
10	3		not_available
11	3		not_available
12	3		not_available
13	5		not_available
14	3		not_available
15	4		not_available
16	2		not_available
17	2		not_available
18	2		not_available
19	4		not_available
20	3		not_available
21	0		not_available
22	0		not_available
23	1		not_available
24	3		not_available
25	5		not_available
26	3		not_available
